table_id,page_title,section_title,table_caption,headers,sample_data
table-0019-690,Immigration to Spain,Comparison with other countries from European Union,Comparison with other countries from European Union,"[""Country"", ""Total population (millions)"", ""Total Foreign-born (millions)"", ""%"", ""Born in other EU state (millions)"", ""%"", ""Born in a non EU state (millions)"", ""%""]","[[""[Germany|Germany]"", ""81.802"", ""9.812"", ""12.0"", ""3.396"", ""4.2"", ""6.415"", ""7.8""], [""[France|France]"", ""64.716"", ""7.196"", ""11.1"", ""2.118"", ""3.3"", ""5.078"", ""7.8""], [""[United_Kingdom|United Kingdom]"", ""62.008"", ""7.012"", ""11.3"", ""2.245"", ""3.6"", ""4.767"", ""7.7""]]"
table-0020-478,List of DIN standards,DIN 1 to DIN 99,DIN 1 to DIN 99,"[""DIN"", ""TITLE"", ""STATUS"", ""DIN REPLACEMENT"", ""OTHER ORG REPLACEMENT""]","[[""DIN 1"", ""Cone Pins, untempered"", ""Withdrawn"", ""DIN EN 22339"", ""ISO 2339""], [""DIN 3"", ""Standard measurements"", ""Withdrawn"", """", """"], [""DIN 5"", ""Technical drawings - Axonometric projections, Isometric projection"", ""Withdrawn"", ""DIN ISO 5456-1"", ""ISO 5456-1""]]"
table-0022-251,Mazda3,Engines,Engines,"[""Model"", ""Type"", ""Power, torque@rpm"", ""CO2 emissions (g/km)""]","[[""ZY-VE"", ""cc (cuin) I4"", ""PS (kW; hp)@6000, N\u00b7m (lb\u00b7ft)@4500"", """"], [""LF-VDS"", ""cc (cuin) I4"", ""PS (kW; hp)@6200, N\u00b7m (lb\u00b7ft)@4500"", """"], [""LF-VE"", ""cc (cuin) I4"", ""PS (kW; hp)@6500, N\u00b7m (lb\u00b7ft)@4000"", """"]]"
table-0022-834,Energy in Iran,Energy forecast,Energy forecast,"[""Source: B.M.I"", ""2010"", ""2015 est."", ""2010-15 growth"", ""2015-20 growth"", ""2010-20 growth"", ""Remarks""]","[[""[MENA|MENA]"", ""1,222 TWh"", ""1,518 TWh"", ""+24.2%"", ""N/A"", ""N/A"", ""where markets were depressed by the economic slowdown in 2009.""], [""MENA-Thermal power generation"", ""1.140 TWh (93.3% of total electricity supplied in the region)"", ""1,378 TWh (90.8% of total electricity supplied in the region)"", ""N/A"", ""N/A"", ""N/A"", ""thanks in part to environmental concerns that should be promoting renewables, hydro-electricity and nuclear generation.""], [""MENA-Energy demand"", ""N/A"", ""1117 tonnes of oil equivalent (toe)"", ""+20.8%"", ""N/A"", ""N/A"", ""N/A""]]"
table-0022-84,National parks of Greece,History,History,"[""Name"", ""Established"", ""[Hectare|ha]"", ""Map""]","[[""[Mount_Ainos|Ainos]"", ""1962"", ""2.862"", """"], [""[Alonnisos_Marine_Park|Alonnisos Marine Park]"", ""1992"", ""208.713"", """"], [""[Mount_Oeta|Oeta]"", ""1966"", ""7.210"", """"]]"
table-0024-136,Capital Bowl,Game Results,Game Results,"[""Year"", ""Game"", ""Team"", ""Runner-up"", ""Score""]","[[""2012"", ""Capital Bowl XXII"", ""Hutt Valley Spartans"", ""Wellington City Wolves"", ""24-6""], [""2011"", ""Capital Bowl XXI"", ""Hutt Valley Spartans"", ""Wellington City Wolves"", ""34-8""], [""2010"", ""Capital Bowl XX"", ""Porirua Knights"", ""Hutt Valley Spartans"", ""28-8""]]"
table-0024-849,Ladies Professional Wrestling Association,LPWA Championship,LPWA Championship,"[""Wrestlers:"", ""Times:"", ""Date:"", ""Location:"", ""Notes:""]","[[""[Susan_Sexton|Susan Sexton]"", ""1"", ""January 1990"", """", ""Awarded title.""], [""[Peggy_Lee_Leather|Lady X]"", ""1"", ""January 31, 1991"", ""[Laughlin,_Nevada|Laughlin, NV]"", """"], [""[Tori_(wrestler)|Terri Power]"", ""1"", ""February 23, 1992"", ""[Rochester,_Minnesota|Rochester, MN]"", ""Defeated Lady X at LPWA Super Ladies Showdown.""]]"
table-0024-850,Ladies Professional Wrestling Association,LPWA Japanese Championship,LPWA Japanese Championship,"[""Wrestlers:"", ""Times:"", ""Date:"", ""Location:"", ""Notes:""]","[[""Harley Saito"", ""1"", ""February 23, 1992"", ""[Rochester,_Minnesota|Rochester, MN]"", ""Defeated Denise Storm in the finals of an eight-woman tournament at LPWA Super Ladies Showdown to crown the first champion.""], [""The title was abandoned after the LPWA closed in 1992."", ""The title was abandoned after the LPWA closed in 1992."", ""The title was abandoned after the LPWA closed in 1992."", ""The title was abandoned after the LPWA closed in 1992."", ""The title was abandoned after the LPWA closed in 1992.""]]"
table-0024-851,Ladies Professional Wrestling Association,LPWA Tag Team Championship,LPWA Tag Team Championship,"[""Wrestlers:"", ""Times:"", ""Date:"", ""Location:"", ""Notes:""]","[[""[Misty_Blue_Simmes|Misty Blue]"", ""1"", ""March 13, 1990"", ""[Laughlin,_Nevada|Laughlin, NV]"", ""Defeated Bad, Black & Beautiful (Bad Girl & Black Venus).""], [""[The_Glamour_Girls|The Glamour Girls]"", ""1"", ""February 28, 1991"", ""Laughlin, NV"", """"], [""The titles were abandoned after LPWA closed in 1992."", ""The titles were abandoned after LPWA closed in 1992."", ""The titles were abandoned after LPWA closed in 1992."", ""The titles were abandoned after LPWA closed in 1992."", ""The titles were abandoned after LPWA closed in 1992.""]]"
table-0024-852,Ladies Professional Wrestling Association,LPWA Mixed Tag Team Championship,LPWA Mixed Tag Team Championship,"[""Wrestlers:"", ""Times:"", ""Date:"", ""Location:"", ""Notes:""]","[[""[Adrian_Street|Adrian Street and Miss Linda]"", ""1"", ""January 1990"", """", ""LPWA recognized existing championship.""], [""The titles were abandoned after Adrian Street and Miss Linda left LPWA by the end of 1990."", ""The titles were abandoned after Adrian Street and Miss Linda left LPWA by the end of 1990."", ""The titles were abandoned after Adrian Street and Miss Linda left LPWA by the end of 1990."", ""The titles were abandoned after Adrian Street and Miss Linda left LPWA by the end of 1990."", ""The titles were abandoned after Adrian Street and Miss Linda left LPWA by the end of 1990.""]]"
table-0024-874,Climate of Himachal Pradesh,,References,"[""Particulars and Characteristics"", ""[Sivalik_Hills|Shivalik]"", ""Mid-Hill Zone"", ""High hill zone"", ""[Himalayas|Himalayas]""]","[[""[Altitude|Altitude]"", ""Up to 800 m"", ""800m-1,600m"", ""1,600m-2,700m"", ""2,700m-3,600m""], [""Type of area"", ""Valley areas and foothills"", ""Hilly and mountain ranges"", ""Alpine zone"", ""Lahaul Spiti and Kinnaur range""], [""Climatic conditions"", ""Sub tropical"", ""Slightly warm temperature"", ""Cool temperature with humidity"", ""Dry and extremely cold conditions""]]"
table-0025-65,Big Ideas for a Small Planet,Episodes,Episodes,"[""Episode #"", ""Title"", ""Cast"", ""Original airdate""]","[[""1 (1-01)"", ""\""Fuel\"""", ""[David_Suzuki|David Suzuki]"", ""April17,2007""], [""A look at the future of automobile fuel. Included: a truck that runs on vegetable oil; a woman's bio-diesel publicity campaign; a race car running on ethanol at Daytona."", ""A look at the future of automobile fuel. Included: a truck that runs on vegetable oil; a woman's bio-diesel publicity campaign; a race car running on ethanol at Daytona."", ""A look at the future of automobile fuel. Included: a truck that runs on vegetable oil; a woman's bio-diesel publicity campaign; a race car running on ethanol at Daytona."", ""A look at the future of automobile fuel. Included: a truck that runs on vegetable oil; a woman's bio-diesel publicity campaign; a race car running on ethanol at Daytona.""], [""2 (1-02)"", ""\""Build\"""", """", ""April24,2007""]]"
table-0028-393,Circumstellar habitable zone,Solar System estimates,Estimates of the circumstellar-habitable-zone boundaries of the Solar System,"[""[Astronomical_unit|AU]"", ""Outer Edge (AU)"", ""Year"", ""Notes""]","[[""0.725"", ""1.24"", ""Dole 1964"", ""Used optically thin atmospheres and fixed albedos. Places the aphelion of Venus just inside the zone.""], ["""", ""1.385\u20131.398"", ""Budyko 1969"", ""Based on studies of ice albedo feedback models to determine the point at which Earth would experience global glaciation. This estimate was supported in studies by Sellers 1969 and North 1975.""], [""0.88\u20130.912"", """", ""Rasool and DeBurgh 1970"", ""Based on studies of Venus's atmosphere, Rasool and DeBurgh concluded that this is the minimum distance at which Earth would have formed stable oceans.""]]"
table-0029-647,Australia women's national water polo team,Olympic record,Olympic record,"[""Year"", ""Games"", ""Position""]","[[""2000"", ""[2000_Summer_Olympics|2000 Summer Olympics]"", ""[Gold_medal|Gold medal]""], [""2004"", ""[2004_Summer_Olympics|2004 Summer Olympics]"", ""4th (won 6\u20135 v Italy, lost 4\u20139 v Kazakhstan, tie 7\u20137 v Greece, lost 2\u20136 v Greece, lost 5\u20136 v USA (bronze medal match)).""], [""2008"", ""[2008_Summer_Olympics|2008 Summer Olympics]"", ""[Bronze_medal|Bronze medal]""]]"
table-0029-938,List of Epcot attractions,Other Past Attractions,Other Past Attractions,"[""Name"", ""Opening-Closing Date"", ""Description""]","[[""[Journey_into_Imagination_with_Figment|Journey Into Your Imagination]"", ""1999\u20132001"", ""[Honey,_I_Shrunk_the_Audience!|Honey, I Shrunk the Audience]""], [""[Millennium_Village|Millennium Village]"", ""1999\u20132001"", ""It was the centerpiece of Disney's Millennium Celebration. The 60,000-square-foot (5,600 m2) pavilion opened up its doors to the public on October 1, 1999 and was closed down on January 1, 2001. It is, however, used on occasion. Along with the Odyssey Restaurant, the Millennium Village (now named \""World ShowPlace\"") is used in the Epcot Food and Wine Festival.""], [""[Honey,_I_Shrunk_the_Audience!|Honey, I Shrunk the Audience!]"", ""1994\u20132010"", ""[Honey,_I_Shrunk_the_Kids_(franchise)|Honey, I Shrunk the Kids franchise]""]]"
table-0029-940,"Baroda High School, Alkapuri",Uniform,P.E. uniform,"[""Girls"", ""White blouse and coloured (as per house) divided terry cot skirt. White socks and white canvas shoes.""]","[[""Boys"", ""Coloured (as per house) T-Shirt and white pants. White socks and white canvas shoes.""]]"
table-0030-123,List of Games for Windows titles,2007,2007,"[""Title"", ""Release date"", ""Developer"", ""Publisher"", ""[Games_for_Windows_\u2013_Live|LIVE]"", ""[Games_for_Windows_\u2013_Live|Games on Demand]""]","[[""[Age_of_Empires_III|Age of Empires III: Gold Edition]"", ""[2007_in_video_gaming|2007-10-23]"", ""[Ensemble_Studios|Ensemble Studios]"", ""[Microsoft_Studios|Microsoft Game Studios]"", """", """"], [""[Age_of_Empires_III:_The_Asian_Dynasties|Age of Empires III: The Asian Dynasties]"", ""[2007_in_video_gaming|2007-10-23]"", ""[Ensemble_Studios|Ensemble Studios]"", ""[Microsoft_Studios|Microsoft Game Studios]"", """", """"], [""[Bee_Movie_Game|Bee Movie Game]"", ""[2007_in_video_gaming|2007-10-30]"", ""[Beenox|Beenox]"", ""[Activision|Activision]"", """", """"]]"
table-0031-124,Accession of Iceland to the European Union,Comparison with other EU countries,Comparison with other EU countries,"[""Most northerly EU capitals"", ""Most northerly EU capitals"", ""Most northerly EU capitals"", """", ""Most westerly EU capitals"", ""Most westerly EU capitals""]","[[""[Iceland|Iceland]"", ""[Reykjav\u00edk|Reykjav\u00edk]"", """", ""[Iceland|Iceland]"", ""[Reykjav\u00edk|Reykjav\u00edk]"", """"], [""[Finland|Finland]"", ""[Helsinki|Helsinki]"", """", ""[Portugal|Portugal]"", ""[Lisbon|Lisbon]"", """"], [""[Estonia|Estonia]"", ""[Tallinn|Tallinn]"", """", ""[Ireland|Ireland]"", ""[Dublin|Dublin]"", """"]]"
table-0031-203,Cinema of France,Festivals,Festivals,"[""Name"", ""Est."", ""City"", ""Type"", ""Details"", ""Website""]","[[""Amiens International Film Festival"", ""1982"", ""[Amiens|Amiens]"", ""Special interest"", ""Annual festival focusing on the cinemas of Europe, Asia and Latin America."", ""http://www.filmfestamiens.org""], [""[Festival_du_Film_Merveilleux|Festival du Film Merveilleux]"", ""2010"", ""Paris"", ""International"", ""Annual film festival celebrating the imaginary, the Wonder and magic from all over the world."", ""http://www.Festival-film-merveilleux.com/""], [""[Annecy_International_Animated_Film_Festival|Annecy International Animated Film Festival]"", ""1960"", ""[Annecy|Annecy]"", ""Special interest"", """", ""http://www.annecy.org""]]"
table-0032-860,Uspallata,Climate,Climate,"[""Climate data for Uspallata""]","[[""Source: Climate-data.org, altitude: 1894 m""]]"
table-0033-259,Franc,Countries currently using the franc,Countries currently using the franc,"[""Countries"", ""Currency"", ""[ISO_4217|ISO 4217]""]","[[""[French_Polynesia|French Polynesia]"", ""[CFP_franc|CFP franc]"", ""XPF""], [""[New_Caledonia|New Caledonia]"", ""[CFP_franc|CFP franc]"", ""XPF""], [""[Wallis_and_Futuna|Wallis and Futuna]"", ""[CFP_franc|CFP franc]"", ""XPF""]]"
table-0033-586,Willie Jackson (politician),Political life,Political life,"[""[New_Zealand_Parliament|<span style=\""color:black\""> Parliament of New Zealand</span> ]"", ""[New_Zealand_Parliament|<span style=\""color:black\""> Parliament of New Zealand</span> ]"", ""[New_Zealand_Parliament|<span style=\""color:black\""> Parliament of New Zealand</span> ]"", ""[New_Zealand_Parliament|<span style=\""color:black\""> Parliament of New Zealand</span> ]"", ""[New_Zealand_Parliament|<span style=\""color:black\""> Parliament of New Zealand</span> ]""]","[[""Years"", ""Term"", ""Electorate"", ""List"", ""Party""], [""1999\u20132002"", ""[46th_New_Zealand_Parliament|46th]"", ""List"", ""9"", ""[Alliance_(New_Zealand_political_party)|Alliance]""]]"
table-0033-959,Prime Minister of Uzbekistan,Prime Ministers,Prime Ministers,"[""#"", ""Name"", ""Took Office"", ""Left Office"", ""Party""]","[[""1"", ""[Abdulhashim_Mutalov|Abdulhashim Mutalov]"", ""8 January 1992"", ""21 December 1995"", ""[People's_Democratic_Party_of_Uzbekistan|People's Democratic Party of Uzbekistan]""], [""2"", ""[O\u02bbtkir_Sultonov|O\u2018tkir Sultonov]"", ""21 December 1995"", ""11 December 2003"", ""[People's_Democratic_Party_of_Uzbekistan|People's Democratic Party of Uzbekistan]""], [""3"", ""[Shavkat_Mirziyoyev|Shavkat Mirziyoyev]"", ""11 December 2003"", ""Incumbent"", ""[Self-Sacrifice_National_Democratic_Party|Self-Sacrifice National Democratic Party]""]]"
table-0035-755,List of The Loop episodes,Season 2: 2007,Season 2: 2007,"[""#"", ""Title"", ""Directed by"", ""Written by"", ""Original air date"", ""Production code""]","[[""8 (1)"", ""\""Windows\"""", ""[Andrew_Fleming|Andrew Fleming]"", ""Sam Laybourne"", ""June10,2007"", ""2AKK09""], [""To increase profits at the company, Nordic clients are brought in for a new airport. After a gift for the clients turns out to be a terrible idea, the plan seems shot. That is until one of the clients offers to go clubbing with Sam, ruining his chances with the hot new secretary."", ""To increase profits at the company, Nordic clients are brought in for a new airport. After a gift for the clients turns out to be a terrible idea, the plan seems shot. That is until one of the clients offers to go clubbing with Sam, ruining his chances with the hot new secretary."", ""To increase profits at the company, Nordic clients are brought in for a new airport. After a gift for the clients turns out to be a terrible idea, the plan seems shot. That is until one of the clients offers to go clubbing with Sam, ruining his chances with the hot new secretary."", ""To increase profits at the company, Nordic clients are brought in for a new airport. After a gift for the clients turns out to be a terrible idea, the plan seems shot. That is until one of the clients offers to go clubbing with Sam, ruining his chances with the hot new secretary."", ""To increase profits at the company, Nordic clients are brought in for a new airport. After a gift for the clients turns out to be a terrible idea, the plan seems shot. That is until one of the clients offers to go clubbing with Sam, ruining his chances with the hot new secretary."", ""To increase profits at the company, Nordic clients are brought in for a new airport. After a gift for the clients turns out to be a terrible idea, the plan seems shot. That is until one of the clients offers to go clubbing with Sam, ruining his chances with the hot new secretary.""], [""9 (2)"", ""\""The Phantom\"""", ""[Dennie_Gordon|Dennie Gordon]"", ""Robia Rashid"", ""June10,2007"", ""2AKK10""]]"
table-0037-29,"Ellendale, Delaware",Demographics,Demographics,"[""Cost Of Living"", ""Ellendale, DE"", ""United States""]","[[""Overall"", ""86"", ""100""], [""Food"", ""104"", ""100""], [""Health"", ""96"", ""100""]]"
table-0037-411,Student loans in the United Kingdom,Interest rates,Historical interest rates (% pa) for different loan types,"[""Academic year"", ""Pre-1998 mortgage-style"", ""1998\u20132011 ICR Plan 1"", ""2012\u2014 ICR Plan 2""]","[[""1990/1991"", ""9.8"", ""9.8"", """"], [""1991/1992"", ""5.8"", ""5.8"", """"], [""1992/1993"", ""3.9"", ""3.9"", """"]]"
